item_identifier,item_type,item_fat_content,item_weight,item_visibility
FDC26,Canned,Low Fat,10.195,0.126579586
FDA14,Dairy,Low Fat,16.1,0.065183228
NCP53,Health and Hygiene,Low Fat,14.75,0.033076388
FDJ16,Frozen Foods,Low Fat,9.195,0.115353642
FDY10,Snack Foods,Low Fat,17.6,0.049267759
FDA51,Dairy,Regular,8.05,0.164679597
FDA26,Dairy,Regular,7.855,0.073906461
NCC06,Household,Low Fat,19.0,0.026963909
FDB47,Snack Foods,Low Fat,8.8,0.071369947
FDF47,Starchy Foods,Low Fat,20.85,0.097618234
FDV12,Baking Goods,Regular,16.7,0.060863167
DRC24,Soft Drinks,Low Fat,17.85,0.024961677
FDU56,Fruits and Vegetables,Low Fat,13.1,0.07371877399126638
FDV58,Snack Foods,Low Fat,20.85,0.121250374
DRG39,Dairy,Low Fat,14.15,0.042352822
FDE39,Dairy,Low Fat,7.89,0.036207786
FDY14,Dairy,Low Fat,10.3,0.070149088
DRO59,Hard Drinks,Low Fat,11.8,0.054238448
NCW05,Health and Hygiene,Low Fat,20.25,0.148302815
NCI55,Household,Low Fat,18.6,0.012673238
FDQ33,Snack Foods,Low Fat,13.35,0.091348964
FDB46,Snack Foods,Regular,10.5,0.093909644
FDQ60,Baking Goods,Regular,11.65,0.191500528
FDF38,Canned,Regular,11.8,0.026358005
FDU60,Baking Goods,Regular,20.0,0.060022526
NCX53,Health and Hygiene,Low Fat,20.1,0.025002878
FDE52,Dairy,Regular,13.35,0.02974207
